name,distributor,manufacturer
비판텐,유한양행,바이엘
디판테놀,동아제약,동아제약
덱스파놀,태극제약,태극제약
덱스놀,동국제약,동국제약
클리어틴,한독,한독
톡클리어겔,광동제약,광동제약
아크원팁스왑액,삼진제약,삼진제약
복합마데카솔연고,동국제약,동국제약
하르델연고,태극제약,태극제약
데카미솔,에이프로젠바이오로직스,에이프로젠바이오로직스
부루펜정,대웅제약,대웅제약
캐롤시럽,일동제약,일동제약
스코펜정,에이프로젠바이오로직스,에이프로젠바이오로직스
타이레놀,한국존슨앤드존슨판매,켄뷰
써스펜,한미약품,한미약품
타세놀,부광약품,부광약품
리안점안액,파마리서치,파마리서치
리클란점안액,동국제약,동국제약
마이드롭점안액,JW 중외제약,JW 중외제약
리쥬비넥스크림,파마리서치,파마리서치
이지에프새살연고,대웅제약,대웅제약
도미나크림,태극제약,태극제약
네오퀸크림,나노팜,나노팜
멜라노사크림,동아제약,동아제약
멜라큐크림,동국제약,동국제약
미앤샷크림,동광제약,동광제약